Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,73.0,-123.0,-45.0,top
R2,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.5,-124.5,-45.0,top
R3,3R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,187.2,-80.5,180.0,bottom
R4,3R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,210.5,-86.0,-90.0,top
R5,3R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,215.5,-86.0,-90.0,top
R6,3R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,239.0,-80.5,0.0,bottom
R7,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,207.5,-134.75,180.0,bottom
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,207.5,-136.5,180.0,bottom
R9,1.8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,96.725,-106.2,180.0,top
R10,1.8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,96.725,-109.2,180.0,top
R11,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.725,-106.19,180.0,top
R12,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.725,-109.2,180.0,top
R13,3k3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,99.225,-113.7,-90.0,top
R14,3k3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.0,-103.1,-90.0,top
R15,1.8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,96.725,-122.1,180.0,top
R16,1.8k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,96.725,-125.11,180.0,top
R17,3k3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.0,-119.0375,-90.0,top
R18,3k3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,99.2,-129.6,-90.0,top
R19,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.725,-122.1,180.0,top
R20,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.725,-125.1,180.0,top
R21,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.5,-100.0,180.0,top
R22,22,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,71.5,-101.5,180.0,top
